Coin,Name_Pair,Price,volume
BTC,tBTCUSD,48575,2600.70269216
LTC,tLTCUSD,182.11,37710.16152267
ETH,tETHUSD,3169.1,18403.66208848
XMR,tXMRUSD,289.39,9500.31837977
XRP,tXRPUSD,1.205,16568834.20861662
MIOTA,tIOTUSD,1.137,2817580.38406478
EOS,tEOSUSD,5.2995,699995.67847963
TRX,tTRXUSD,0.086957,4087570.5062431
XLM,tXLMUSD,0.36526,3811848.93779575
VET,tVETUSD,0.12596,687962.35309242
BSV,tBSVUSD,161.17,2065.29660297
USDT,tUSTUSD,1.0004,50307673.41253759
FTT,tFTTUSD,49.432,93.66157928
DOT,tDOTUSD,27.016,178852.6862514
ADA,tADAUSD,2.5869,5423124.41204091
LINK,tLINK:USD,27.285,65468.3970745
FIL,tFILUSD,76.37,14210.13617764
BCH,tBCHN:USD,659.57,1272.18419876
SOL,tSOLUSD,73.164,119175.07292439
DOGE,tDOGE:USD,0.31072,19791523.11133583
